,date,ticker,instrument_name,open,high,low,close,agg_close
27,2019-01-01 00:00:00,BANKNIFTY03JAN1926000PE.NFO,BANKNIFTY,2.45,4.65,1.5,1.65,1.95
28,2019-01-01 00:00:00,BANKNIFTY03JAN1926100CE.NFO,BANKNIFTY,1022.45,1192.3,961.9,1192.3,
29,2019-01-01 00:00:00,BANKNIFTY03JAN1926100PE.NFO,BANKNIFTY,3.05,9.0,1.15,1.8,2.14
30,2019-01-01 00:00:00,BANKNIFTY03JAN1926200CE.NFO,BANKNIFTY,947.25,1191.2,837.65,1191.2,1172.75
31,2019-01-01 00:00:00,BANKNIFTY03JAN1926200PE.NFO,BANKNIFTY,3.15,6.95,1.25,2.2,2.46
32,2019-01-01 00:00:00,BANKNIFTY03JAN1926300CE.NFO,BANKNIFTY,869.0,1102.8,733.15,1098.65,1080.09
33,2019-01-01 00:00:00,BANKNIFTY03JAN1926300PE.NFO,BANKNIFTY,3.7,9.1,1.95,2.85,2.83
34,2019-01-01 00:00:00,BANKNIFTY03JAN1926400CE.NFO,BANKNIFTY,728.45,1004.25,632.3,1004.25,977.58
35,2019-01-01 00:00:00,BANKNIFTY03JAN1926400PE.NFO,BANKNIFTY,7.85,13.0,3.05,3.35,3.58
36,2019-01-01 00:00:00,BANKNIFTY03JAN1926500CE.NFO,BANKNIFTY,716.8,908.45,538.0,904.35,881.02
37,2019-01-01 00:00:00,BANKNIFTY03JAN1926500PE.NFO,BANKNIFTY,6.05,17.25,4.15,4.25,4.65
38,2019-01-01 00:00:00,BANKNIFTY03JAN1926600CE.NFO,BANKNIFTY,600.05,809.0,456.1,808.5,785.98
39,2019-01-01 00:00:00,BANKNIFTY03JAN1926600PE.NFO,BANKNIFTY,10.75,24.6,4.95,5.45,5.77
40,2019-01-01 00:00:00,BANKNIFTY03JAN1926700CE.NFO,BANKNIFTY,530.35,715.55,366.45,710.4,689.3
41,2019-01-01 00:00:00,BANKNIFTY03JAN1926700PE.NFO,BANKNIFTY,17.55,37.0,6.6,6.7,7.93
42,2019-01-01 00:00:00,BANKNIFTY03JAN1926800CE.NFO,BANKNIFTY,477.85,623.25,290.0,619.95,596.46
43,2019-01-01 00:00:00,BANKNIFTY03JAN1926800PE.NFO,BANKNIFTY,28.6,55.95,8.45,9.6,10.85
44,2019-01-01 00:00:00,BANKNIFTY03JAN1926900CE.NFO,BANKNIFTY,406.8,533.3,208.05,532.15,502.48
45,2019-01-01 00:00:00,BANKNIFTY03JAN1926900PE.NFO,BANKNIFTY,45.05,84.0,11.85,13.8,15.57
46,2019-01-01 00:00:00,BANKNIFTY03JAN1927000CE.NFO,BANKNIFTY,296.0,439.2,158.0,436.65,411.1
47,2019-01-01 00:00:00,BANKNIFTY03JAN1927000PE.NFO,BANKNIFTY,55.2,121.0,17.7,20.0,22.76
48,2019-01-01 00:00:00,BANKNIFTY03JAN1927100CE.NFO,BANKNIFTY,258.85,349.7,113.65,349.0,327.48
49,2019-01-01 00:00:00,BANKNIFTY03JAN1927100PE.NFO,BANKNIFTY,51.35,167.75,27.6,30.0,35.17
50,2019-01-01 00:00:00,BANKNIFTY03JAN1927200CE.NFO,BANKNIFTY,190.05,272.2,76.65,269.0,252.42
51,2019-01-01 00:00:00,BANKNIFTY03JAN1927200PE.NFO,BANKNIFTY,135.05,226.9,45.65,49.05,56.3
52,2019-01-01 00:00:00,BANKNIFTY03JAN1927300CE.NFO,BANKNIFTY,130.1,203.55,48.45,203.05,188.2
53,2019-01-01 00:00:00,BANKNIFTY03JAN1927300PE.NFO,BANKNIFTY,191.7,299.0,73.55,76.9,87.72
54,2019-01-01 00:00:00,BANKNIFTY03JAN1927400CE.NFO,BANKNIFTY,100.0,145.0,30.0,145.0,134.16
55,2019-01-01 00:00:00,BANKNIFTY03JAN1927400PE.NFO,BANKNIFTY,248.45,382.1,111.7,113.5,129.54
56,2019-01-01 00:00:00,BANKNIFTY03JAN1927500CE.NFO,BANKNIFTY,67.85,98.15,17.25,98.15,90.38
57,2019-01-01 00:00:00,BANKNIFTY03JAN1927500PE.NFO,BANKNIFTY,292.15,466.75,163.15,165.0,183.21
58,2019-01-01 00:00:00,BANKNIFTY03JAN1927600CE.NFO,BANKNIFTY,42.95,64.15,8.75,62.0,55.9
59,2019-01-01 00:00:00,BANKNIFTY03JAN1927600PE.NFO,BANKNIFTY,410.05,550.0,225.0,225.6,247.28
60,2019-01-01 00:00:00,BANKNIFTY03JAN1927700CE.NFO,BANKNIFTY,25.35,35.0,4.55,33.65,31.68
61,2019-01-01 00:00:00,BANKNIFTY03JAN1927700PE.NFO,BANKNIFTY,479.3,639.55,297.3,302.85,321.21
62,2019-01-01 00:00:00,BANKNIFTY03JAN1927800CE.NFO,BANKNIFTY,12.4,19.0,2.5,18.15,16.81
63,2019-01-01 00:00:00,BANKNIFTY03JAN1927800PE.NFO,BANKNIFTY,605.0,728.8,382.65,382.65,406.74
64,2019-01-01 00:00:00,BANKNIFTY03JAN1927900CE.NFO,BANKNIFTY,7.0,10.05,1.55,9.65,8.48
65,2019-01-01 00:00:00,BANKNIFTY03JAN1927900PE.NFO,BANKNIFTY,718.8,740.0,474.6,474.6,496.56
66,2019-01-01 00:00:00,BANKNIFTY03JAN1928000CE.NFO,BANKNIFTY,1.7,5.95,1.45,5.55,5.04
67,2019-01-01 00:00:00,BANKNIFTY03JAN1928000PE.NFO,BANKNIFTY,826.35,934.4,571.1,575.1,591.73
68,2019-01-01 00:00:00,BANKNIFTY03JAN1928100CE.NFO,BANKNIFTY,1.05,3.45,1.05,2.65,2.82
69,2019-01-01 00:00:00,BANKNIFTY03JAN1928100PE.NFO,BANKNIFTY,825.4,825.4,825.4,825.4,
70,2019-01-01 00:00:00,BANKNIFTY03JAN1928200CE.NFO,BANKNIFTY,2.0,4.95,0.9,2.0,1.84
71,2019-01-01 00:00:00,BANKNIFTY03JAN1928300CE.NFO,BANKNIFTY,1.8,1.8,0.75,1.2,1.3
72,2019-01-01 00:00:00,BANKNIFTY03JAN1928400CE.NFO,BANKNIFTY,1.15,1.45,0.5,0.55,0.95
73,2019-01-01 00:00:00,BANKNIFTY03JAN1928500CE.NFO,BANKNIFTY,1.05,1.1,0.6,0.6,0.77
74,2019-01-01 00:00:00,BANKNIFTY03JAN1928500PE.NFO,BANKNIFTY,1230.5,1230.5,1075.0,1075.0,1077.5
75,2019-01-01 00:00:00,BANKNIFTY03JAN1928600CE.NFO,BANKNIFTY,0.2,1.85,0.2,0.45,0.55
76,2019-01-01 00:00:00,BANKNIFTY03JAN1928700CE.NFO,BANKNIFTY,0.05,1.45,0.05,0.4,0.48
77,2019-01-01 00:00:00,BANKNIFTY03JAN1928800CE.NFO,BANKNIFTY,0.05,0.8,0.05,0.65,0.65
