,datetime,futures_open,futures_close,futures_high,futures_low,ce_open,ce_close,ce_high,ce_low,pe_open,pe_close,pe_high,pe_low,ce_pnl,pe_pnl
0,2019-01-02 09:15:00,27410.3,27360.0,27430.0,27350.5,402.95,416.15,416.15,402.95,449.9,450.0,450.0,449.9,0.0,0.0
1,2019-01-02 09:16:00,27358.95,27377.1,27377.4,27349.0,416.15,416.15,416.15,404.05,450.0,447.65,459.55,447.65,0.0,0.0
2,2019-01-02 09:17:00,27379.1,27377.2,27382.7,27366.05,416.15,419.65,420.0,415.05,447.65,438.95,447.65,435.6,0.0,0.0
3,2019-01-02 09:18:00,27377.15,27397.6,27397.6,27376.0,419.65,420.15,425.55,416.0,438.95,425.0,438.95,424.75,0.0,0.0
4,2019-01-02 09:19:00,27397.35,27425.0,27430.8,27395.05,420.15,449.85,449.85,420.15,438.95,425.0,438.95,424.75,0.0,0.0
5,2019-01-02 09:20:00,27427.0,27437.9,27450.0,27424.15,449.85,455.0,455.0,449.85,438.95,425.0,438.95,424.75,0.0,0.0
6,2019-01-02 09:21:00,27436.4,27450.95,27464.0,27436.4,455.0,464.65,464.65,450.45,425.0,404.5,425.0,404.5,0.0,0.0
7,2019-01-02 09:22:00,27450.0,27437.45,27450.0,27427.7,464.65,452.4,464.65,449.05,404.5,420.0,420.0,404.5,0.0,0.0
8,2019-01-02 09:23:00,27435.7,27450.5,27451.2,27434.25,452.4,460.05,460.05,451.0,420.0,410.55,420.0,410.4,0.0,0.0
9,2019-01-02 09:24:00,27453.7,27452.3,27466.6,27450.0,460.05,458.65,465.0,458.65,410.0,412.55,412.55,410.0,0.0,0.0
10,2019-01-02 09:25:00,27450.0,27450.55,27451.85,27442.35,458.65,458.65,458.65,458.65,410.0,412.55,412.55,410.0,0.0,0.0
11,2019-01-02 09:26:00,27450.0,27459.95,27474.9,27450.0,458.65,470.85,470.85,458.65,410.0,412.55,412.55,410.0,0.0,0.0
12,2019-01-02 09:27:00,27459.25,27448.15,27459.9,27448.1,470.85,464.0,470.85,464.0,412.55,410.0,412.55,410.0,0.0,0.0
13,2019-01-02 09:28:00,27445.4,27436.2,27448.1,27433.0,464.0,459.0,464.0,459.0,412.55,410.0,412.55,410.0,0.0,0.0
14,2019-01-02 09:29:00,27436.2,27431.15,27440.0,27424.0,459.0,450.65,459.0,450.65,412.55,410.0,412.55,410.0,0.0,0.0
15,2019-01-02 09:30:00,27428.8,27430.9,27433.0,27425.1,450.65,451.6,454.0,450.65,410.0,425.0,425.0,410.0,0.0,0.0
16,2019-01-02 09:31:00,27430.9,27400.0,27434.95,27398.9,450.65,451.6,454.0,450.65,425.0,439.15,439.15,425.0,0.0,0.0
17,2019-01-02 09:32:00,27398.1,27404.25,27406.0,27390.0,451.6,435.2,451.6,430.0,439.15,432.15,439.15,429.55,0.0,0.0
18,2019-01-02 09:33:00,27404.25,27388.95,27404.25,27382.0,435.0,429.4,435.05,429.4,432.15,444.8,444.8,432.15,0.0,0.0
19,2019-01-02 09:34:00,27384.0,27396.7,27397.7,27380.0,429.4,430.0,430.0,429.0,444.8,439.4,444.8,439.4,0.0,0.0
