,Entry_Datetime,Future_Traded_Price,ATM,Days_to_Expiry,CE_Symbol,CE_Entry_Price,CE_Exit_Price,CE_Exit_Datetime,PE_Symbol,PE_Entry_Price,PE_Exit_Price,PE_Exit_Datetime,Max_Profit,Max_Loss,PnL
0,2019-01-01 09:20:00,27265.0,27300,2,BANKNIFTY03JAN1927300CE.NFO,100.0,120.0,2019-01-01 14:31:00,BANKNIFTY03JAN1927300PE.NFO,225.6,270.72,2019-01-01 09:54:00,4.879999999999967,-65.12000000000003,-65.12000000000003
1,2019-01-02 09:20:00,27437.9,27400,1,BANKNIFTY03JAN1927400CE.NFO,99.05,118.86,2019-01-02 10:21:00,BANKNIFTY03JAN1927400PE.NFO,157.55,189.06,2019-01-02 09:35:00,7.299999999999997,-51.31999999999999,-51.31999999999999
2,2019-01-03 09:20:00,27218.9,27200,0,BANKNIFTY03JAN1927200CE.NFO,48.1,57.72,2019-01-03 09:38:00,BANKNIFTY03JAN1927200PE.NFO,135.3,162.36,2019-01-03 11:36:00,44.98000000000001,-36.68,-36.68
3,2019-01-04 09:20:00,27188.45,27200,6,BANKNIFTY10JAN1927200CE.NFO,179.6,215.51999999999998,2019-01-04 11:41:00,BANKNIFTY10JAN1927200PE.NFO,283.05,339.66,2019-01-04 09:45:00,8.200000000000017,-92.53,-92.53
4,2019-01-07 09:20:00,27530.0,27500,3,BANKNIFTY10JAN1927500CE.NFO,137.75,82.35,2019-01-07 15:10:00,BANKNIFTY10JAN1927500PE.NFO,204.0,244.8,2019-01-07 14:45:00,17.94999999999999,-15.75,14.599999999999994
5,2019-01-08 09:20:00,27306.3,27300,2,BANKNIFTY10JAN1927300CE.NFO,110.3,132.36,2019-01-08 09:49:00,BANKNIFTY10JAN1927300PE.NFO,199.5,70.25,2019-01-08 15:10:00,107.18999999999998,-3.5500000000000114,107.18999999999998
6,2019-01-09 09:20:00,27712.05,27700,1,BANKNIFTY10JAN1927700CE.NFO,81.85,82.65,2019-01-09 15:10:00,BANKNIFTY10JAN1927700PE.NFO,167.6,201.12,2019-01-09 10:05:00,26.829999999999984,-35.32000000000002,-34.32000000000002
7,2019-01-10 09:20:00,27702.0,27700,0,BANKNIFTY10JAN1927700CE.NFO,44.15,0.05,2019-01-10 15:10:00,BANKNIFTY10JAN1927700PE.NFO,120.15,144.18,2019-01-10 09:37:00,20.07,-20.68,20.07
8,2019-01-11 09:20:00,27681.1,27700,6,BANKNIFTY17JAN1927700CE.NFO,172.1,119.75,2019-01-11 15:10:00,BANKNIFTY17JAN1927700PE.NFO,259.0,310.8,2019-01-11 10:44:00,17.59999999999998,-13.650000000000006,0.549999999999983
9,2019-01-14 09:20:00,27378.95,27400,3,BANKNIFTY17JAN1927400CE.NFO,141.3,118.5,2019-01-14 15:10:00,BANKNIFTY17JAN1927400PE.NFO,221.9,216.0,2019-01-14 15:10:00,34.400000000000006,-5.5,28.700000000000017
10,2019-01-15 09:20:00,27436.95,27400,2,BANKNIFTY17JAN1927400CE.NFO,138.1,165.72,2019-01-15 11:30:00,BANKNIFTY17JAN1927400PE.NFO,160.35,112.6,2019-01-15 15:10:00,22.89999999999999,-11.420000000000016,20.129999999999995
11,2019-01-16 09:20:00,27543.05,27500,1,BANKNIFTY17JAN1927500CE.NFO,99.3,119.16,2019-01-16 09:30:00,BANKNIFTY17JAN1927500PE.NFO,127.25,83.45,2019-01-16 15:10:00,31.040000000000006,0,23.939999999999998
12,2019-01-17 09:20:00,27584.0,27600,0,BANKNIFTY17JAN1927600CE.NFO,26.0,0.1,2019-01-17 15:10:00,BANKNIFTY17JAN1927600PE.NFO,98.5,118.2,2019-01-17 10:30:00,6.199999999999996,-9.700000000000003,6.199999999999996
13,2019-01-18 09:20:00,27591.0,27600,6,BANKNIFTY24JAN1927600CE.NFO,166.05,151.3,2019-01-18 15:10:00,BANKNIFTY24JAN1927600PE.NFO,207.45,248.94,2019-01-18 09:28:00,0,-56.94,-26.74000000000001
14,2019-01-21 09:20:00,27476.2,27500,3,BANKNIFTY24JAN1927500CE.NFO,151.3,181.56,2019-01-21 09:40:00,BANKNIFTY24JAN1927500PE.NFO,202.45,143.3,2019-01-21 15:10:00,43.389999999999986,-4.099999999999994,28.889999999999986
15,2019-01-22 09:20:00,27493.85,27500,2,BANKNIFTY24JAN1927500CE.NFO,141.45,142.85,2019-01-22 15:10:00,BANKNIFTY24JAN1927500PE.NFO,176.25,141.55,2019-01-22 15:10:00,35.74999999999997,-0.6500000000000341,33.29999999999998
16,2019-01-23 09:20:00,27569.1,27500,1,BANKNIFTY24JAN1927500CE.NFO,148.0,31.2,2019-01-23 15:10:00,BANKNIFTY24JAN1927500PE.NFO,107.1,128.51999999999998,2019-01-23 14:29:00,96.18,0,95.38000000000001
17,2019-01-24 09:20:00,27278.35,27300,0,BANKNIFTY24JAN1927300CE.NFO,36.8,44.16,2019-01-24 10:46:00,BANKNIFTY24JAN1927300PE.NFO,91.45,109.74000000000001,2019-01-24 09:24:00,0.45000000000000284,-25.650000000000006,-25.650000000000006
18,2019-01-25 09:20:00,27463.0,27400,6,BANKNIFTY31JAN1927400CE.NFO,224.35,109.75,2019-01-25 15:10:00,BANKNIFTY31JAN1927400PE.NFO,165.2,198.23999999999998,2019-01-25 13:36:00,96.81,0,81.56
19,2019-01-28 09:20:00,27114.05,27100,3,BANKNIFTY31JAN1927100CE.NFO,204.0,59.95,2019-01-28 15:10:00,BANKNIFTY31JAN1927100PE.NFO,182.0,218.4,2019-01-28 09:34:00,112.15,-6.849999999999994,107.65
