Ticker,Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ,OpenInterest
MARICO30Jan20320PE.NFO,07/01/2020,09:51:40,2.55,2.5,2600,2.8,1300,1300,98800
MARICO30Jan20320PE.NFO,07/01/2020,09:51:40,2.55,2.5,2600,2.8,1300,0,98800
MARICO30Jan20320PE.NFO,07/01/2020,09:51:40,2.55,2.5,2600,2.8,1300,0,98800
MARICO30Jan20320PE.NFO,07/01/2020,09:51:40,2.55,2.5,2600,2.8,1300,0,98800
MARICO30Jan20320PE.NFO,07/01/2020,09:51:44,2.5,2.45,3900,2.8,1300,1300,98800
MARICO30Jan20320PE.NFO,07/01/2020,09:51:44,2.5,2.45,3900,2.8,1300,0,98800
MARICO30Jan20320PE.NFO,07/01/2020,09:51:49,2.5,2.45,3900,2.8,1300,0,98800
MARICO30Jan20320PE.NFO,07/01/2020,09:52:00,2.5,2.4,3900,2.8,1300,0,98800
MARICO30Jan20320PE.NFO,07/01/2020,09:52:21,2.5,2.4,3900,2.8,2600,0,98800
MARICO30Jan20320PE.NFO,07/01/2020,09:52:36,2.5,2.45,1300,2.8,2600,0,98800
MARICO30Jan20320PE.NFO,07/01/2020,09:52:56,2.5,2.45,1300,2.75,2600,0,98800
MARICO30Jan20320PE.NFO,07/01/2020,09:53:00,2.5,2.45,1300,2.75,1300,0,98800
MARICO30Jan20320PE.NFO,07/01/2020,09:53:17,2.5,2.4,3900,2.75,1300,0,98800
MARICO30Jan20320PE.NFO,07/01/2020,09:53:22,2.5,2.4,2600,2.75,1300,0,98800
MARICO30Jan20320PE.NFO,07/01/2020,09:53:27,2.5,2.4,3900,2.75,1300,0,98800
MARICO30Jan20320PE.NFO,07/01/2020,09:53:32,2.5,2.4,3900,2.75,2600,0,98800
MARICO30Jan20320PE.NFO,07/01/2020,09:53:37,2.5,2.4,3900,2.75,1300,0,98800
MARICO30Jan20320PE.NFO,07/01/2020,09:53:56,2.5,2.45,1300,2.75,1300,0,98800
