Ticker,Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ,OpenInterest
IGL30Jan20450CE.NFO,07/01/2020,09:36:38,2.4,2.25,5500,2.4,2750,2750,178750
IGL30Jan20450CE.NFO,07/01/2020,09:36:38,2.4,2.25,5500,2.4,2750,0,178750
IGL30Jan20450CE.NFO,07/01/2020,09:36:38,2.4,2.25,5500,2.4,2750,0,178750
IGL30Jan20450CE.NFO,07/01/2020,09:36:38,2.4,2.25,5500,2.4,2750,0,178750
IGL30Jan20450CE.NFO,07/01/2020,09:36:52,2.4,2.25,5500,2.45,2750,0,178750
IGL30Jan20450CE.NFO,07/01/2020,09:40:57,2.4,2.25,5500,2.4,5500,0,178750
IGL30Jan20450CE.NFO,07/01/2020,09:41:18,2.4,2.25,5500,2.4,2750,0,178750
IGL30Jan20450CE.NFO,07/01/2020,09:41:23,2.4,2.25,5500,2.4,5500,0,178750
IGL30Jan20450CE.NFO,07/01/2020,09:41:58,2.4,2.25,2750,2.4,5500,0,178750
IGL30Jan20450CE.NFO,07/01/2020,09:42:05,2.4,2.2,2750,2.4,5500,0,178750
IGL30Jan20450CE.NFO,07/01/2020,09:43:09,2.4,2.15,5500,2.4,5500,0,178750
IGL30Jan20450CE.NFO,07/01/2020,09:46:36,2.4,2.1,5500,2.4,5500,0,178750
IGL30Jan20450CE.NFO,07/01/2020,09:51:52,2.4,2.15,2750,2.4,5500,0,178750
IGL30Jan20450CE.NFO,07/01/2020,09:52:51,2.4,2.1,5500,2.4,5500,0,178750
IGL30Jan20450CE.NFO,07/01/2020,09:53:41,2.4,2.15,2750,2.4,5500,0,178750
IGL30Jan20450CE.NFO,07/01/2020,09:53:46,2.4,2.1,5500,2.4,5500,0,178750
IGL30Jan20450CE.NFO,07/01/2020,09:53:59,2.4,2.1,2750,2.4,5500,0,178750
IGL30Jan20450CE.NFO,07/01/2020,10:00:39,2.4,2.15,2750,2.4,5500,0,178750
IGL30Jan20450CE.NFO,07/01/2020,10:00:46,2.4,2.1,5500,2.4,5500,0,178750
IGL30Jan20450CE.NFO,07/01/2020,10:01:06,2.4,2.15,2750,2.4,2750,0,178750
IGL30Jan20450CE.NFO,07/01/2020,10:01:48,2.4,2.15,5500,2.4,2750,0,178750
