Ticker,Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ,OpenInterest
NMDC30Jan20107.5PE.NFO,07/01/2020,14:32:12,0.3,0.25,6000,0.45,24000,6000,60000
NMDC30Jan20107.5PE.NFO,07/01/2020,14:32:12,0.3,0.25,6000,0.45,24000,0,60000
NMDC30Jan20107.5PE.NFO,07/01/2020,14:32:12,0.3,0.25,6000,0.45,24000,0,60000
NMDC30Jan20107.5PE.NFO,07/01/2020,14:32:12,0.3,0.25,6000,0.45,24000,0,60000
NMDC30Jan20107.5PE.NFO,07/01/2020,14:32:17,0.3,0.25,6000,0.45,24000,0,60000
NMDC30Jan20107.5PE.NFO,07/01/2020,14:33:46,0.3,0.25,6000,0.4,6000,0,60000
NMDC30Jan20107.5PE.NFO,07/01/2020,15:03:11,0.3,0.25,6000,0.45,12000,0,60000
NMDC30Jan20107.5PE.NFO,07/01/2020,15:03:16,0.3,0.25,6000,0.35,6000,0,60000
NMDC30Jan20107.5PE.NFO,07/01/2020,15:04:05,0.3,0.25,12000,0.35,6000,0,60000
NMDC30Jan20107.5PE.NFO,07/01/2020,15:08:27,0.3,0.3,6000,0.35,6000,0,60000
NMDC30Jan20107.5PE.NFO,07/01/2020,15:15:13,0.3,0.25,12000,0.35,6000,0,60000
NMDC30Jan20107.5PE.NFO,07/01/2020,15:16:15,0.3,0.25,6000,0.35,6000,0,60000
NMDC30Jan20107.5PE.NFO,07/01/2020,15:20:55,0.3,0.25,6000,0.3,6000,0,60000
